2021-02-08 19:19:28  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-02-08 19:19:28  INFO ServiceAnnotationBeanPostProcessor:194 -  [DUBBO] BeanNameGenerator bean can't be found in BeanFactory with name [org.springframework.context.annotation.internalConfigurationBeanNameGenerator], dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:28  INFO ServiceAnnotationBeanPostProcessor:196 -  [DUBBO] BeanNameGenerator will be a instance of org.springframework.context.annotation.AnnotationBeanNameGenerator , it maybe a potential problem on bean name generation., dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:28  WARN ServiceAnnotationBeanPostProcessor:159 -  [DUBBO] No Spring Bean annotating Dubbo's @Service was found under package[com.chl.userapp.service.dubbo], dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  WARN AbstractConfig:265 -  [DUBBO] There's no valid metadata config found, if you are using the simplified mode of registry url, please make sure you have a metadata address configured properly., dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO ZookeeperTransporter:69 -  [DUBBO] No valid zookeeper client found from cache, therefore create a new client for url. zookeeper://116.62.50.136:2181/ConfigCenterConfig?address=116.62.50.136:2181&check=true&configFile=dubbo.properties&group=dubbo&highestPriority=false&namespace=dubbo&prefix=dubbo.config-center&timeout=3000&valid=true, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO CuratorZookeeperClient:296 -  [DUBBO] listen the zookeeper changed. The changed data:null, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO AbstractConfig:237 -  [DUBBO] There's no valid monitor config found, if you want to open monitor statistics for Dubbo, please make sure your monitor is configured properly., dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO Server:101 -  [DUBBO] qos-server bind localhost:22222, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://116.62.50.136:2181/org.apache.dubbo.registry.RegistryService?application=user-coupon&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=29864&release=2.7.2&timestamp=1612783169440, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO ZookeeperRegistry:280 -  [DUBBO] Register: consumer://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=consumers&check=false&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:29  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: consumer://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=providers,configurators,routers&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013, dubbo version: 2.7.2, current host: 172.31.24.180
2021-02-08 19:19:30  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=providers,configurators,routers&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013, urls: [empty://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=providers&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013, empty://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=configurators&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013, empty://172.31.24.180/com.chl.userserviceapi.service.IUserService?application=user-coupon&category=routers&dubbo=2.0.2&interface=com.chl.userserviceapi.service.IUserService&lazy=false&methods=getUserById&pid=29864&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1612783169013], dubbo version: 2.7.2, current host: 172.31.24.180
